Code du département,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneau,Voix,% Voix/Ins,% Voix/Exp,Tour,Year
"93",1074,417,"38,83",657,"61,17",46,"4,28",7,16,"1,49","2,44",595,"55,4","90,56","5",197,"18,34","33,11","T2","2022"
"93",1266,637,"50,32",629,"49,68",52,"4,11","8,27",13,"1,03","2,07",564,"44,55","89,67","5",150,"11,85","26,6","T2","2022"
"93",1104,524,"47,46",580,"52,54",58,"5,25",10,16,"1,45","2,76",506,"45,83","87,24","5",118,"10,69","23,32","T2","2022"
"93",921,393,"42,67",528,"57,33",31,"3,37","5,87",13,"1,41","2,46",484,"52,55","91,67","5",162,"17,59","33,47","T2","2022"
"93",1331,638,"47,93",693,"52,07",58,"4,36","8,37",22,"1,65","3,17",613,"46,06","88,46","5",145,"10,89","23,65","T2","2022"
"93",1162,508,"43,72",654,"56,28",46,"3,96","7,03",16,"1,38","2,45",592,"50,95","90,52","5",143,"12,31","24,16","T2","2022"
"93",1015,430,"42,36",585,"57,64",26,"2,56","4,44",17,"1,67","2,91",542,"53,4","92,65","5",159,"15,67","29,34","T2","2022"
"93",1156,582,"50,35",574,"49,65",26,"2,25","4,53",13,"1,12","2,26",535,"46,28","93,21","5",109,"9,43","20,37","T2","2022"
"93",1338,581,"43,42",757,"56,58",57,"4,26","7,53",20,"1,49","2,64",680,"50,82","89,83","5",164,"12,26","24,12","T2","2022"
"93",1070,467,"43,64",603,"56,36",34,"3,18","5,64",17,"1,59","2,82",552,"51,59","91,54","5",155,"14,49","28,08","T2","2022"
"93",1558,694,"44,54",864,"55,46",67,"4,3","7,75",23,"1,48","2,66",774,"49,68","89,58","5",183,"11,75","23,64","T2","2022"
"93",1301,657,"50,5",644,"49,5",45,"3,46","6,99",13,1,"2,02",586,"45,04","90,99","5",133,"10,22","22,7","T2","2022"
"93",818,247,"30,2",571,"69,8",45,"5,5","7,88",17,"2,08","2,98",509,"62,22","89,14","5",156,"19,07","30,65","T2","2022"
"93",923,385,"41,71",538,"58,29",41,"4,44","7,62",13,"1,41","2,42",484,"52,44","89,96","5",166,"17,98","34,3","T2","2022"
"93",738,304,"41,19",434,"58,81",27,"3,66","6,22",14,"1,9","3,23",393,"53,25","90,55","5",125,"16,94","31,81","T2","2022"
"93",711,312,"43,88",399,"56,12",26,"3,66","6,52",15,"2,11","3,76",358,"50,35","89,72","5",104,"14,63","29,05","T2","2022"
