Inscrits,% Abs/Ins,LE PEN,MACRON,Code Insee
148,23.65,49.5,50.5,01437
72,15.28,51.11,48.89,01439
474,19.83,54.65,45.35,01441
319,20.06,28.83,71.17,01442
3235,21.05,41.66,58.34,01443
805,24.1,48.78,51.22,01444
470,17.45,44.48,55.52,01445
1057,19.68,52.57,47.43,01446
869,26.24,50.36,49.64,01447
263,20.91,39.41,60.59,01448
582,17.87,47.18,52.82,01449
2652,18.06,48.03,51.97,01450
4645,18.49,36.72,63.28,01451
689,20.32,45.95,54.05,01452
215,23.72,44.93,55.07,01453
631,21.55,52.36,47.64,01454
75,18.67,30.36,69.64,01456
1979,22.13,37.9,62.1,01457
393,22.14,72.0,28.0,02001
404,16.58,65.68,34.32,02002
799,19.02,52.14,47.86,02003
144,17.36,47.66,52.34,02004
333,14.71,58.0,42.0,02005
235,20.43,64.56,35.44,02006
101,13.86,52.56,47.44,02007
200,16.5,59.72,40.28,02008
396,16.41,65.26,34.74,02009
129,13.95,61.76,38.24,02010
973,27.34,50.65,49.35,02011
61,16.39,48.94,51.06,02012
302,25.83,54.87,45.13,02013
550,19.82,59.05,40.95,02014
66,16.67,72.0,28.0,02015
164,12.2,48.31,51.69,02016
209,11.96,53.46,46.54,02017
1464,28.35,53.27,46.73,02018
289,25.26,59.42,40.58,02019
342,17.54,63.92,36.08,02020
81,18.52,72.41,27.59,02021
327,23.55,52.94,47.06,02022
93,12.9,44.29,55.71,02023
41,14.63,60.0,40.0,02024
273,20.15,64.61,35.39,02025
202,24.75,58.7,41.3,02027
2040,18.92,55.46,44.54,02028
285,20.0,56.06,43.94,02029
211,18.48,53.1,46.9,02030
448,19.2,72.42,27.58,02031
190,22.11,69.7,30.3,02032
82,19.51,51.72,48.28,02033
89,20.22,60.94,39.06,02034
198,14.14,61.54,38.46,02035
62,11.29,60.0,40.0,02036
985,17.26,49.23,50.77,02037
62,27.42,67.57,32.43,02038
123,15.45,57.0,43.0,02039
142,19.01,55.24,44.76,02040
674,21.96,56.4,43.6,02041
282,17.38,55.34,44.66,02042
44,18.18,79.41,20.59,02043
26,23.08,66.67,33.33,02044
415,17.11,54.61,45.39,02046
118,14.41,63.04,36.96,02047
90,14.44,62.3,37.7,02048
553,19.53,59.52,40.48,02049
246,18.7,65.91,34.09,02050
288,23.26,51.3,48.7,02051
110,30.0,57.53,42.47,02052
470,20.85,43.44,56.56,02053
342,26.61,48.34,51.66,02054
94,12.77,69.01,30.99,02055
132,19.7,69.07,30.93,02056
981,23.34,66.72,33.28,02057
519,19.27,56.49,43.51,02058
1978,32.76,59.09,40.91,02059
212,20.28,52.87,47.13,02060
198,23.74,67.63,32.37,02061
93,22.58,63.33,36.67,02062
294,22.45,68.78,31.22,02063
2542,27.58,49.01,50.99,02064
463,17.06,67.56,32.44,02065
165,24.24,60.19,39.81,02066
176,14.2,55.0,45.0,02067
64,9.38,72.22,27.78,02068
92,16.3,61.64,38.36,02069
344,14.24,53.44,46.56,02070
496,20.56,55.87,44.13,02071
150,15.33,45.61,54.39,02072
389,20.82,67.04,32.96,02073
430,19.77,63.37,36.63,02074
164,18.29,57.41,42.59,02075
97,21.65,45.31,54.69,02076
311,22.83,50.24,49.76,02077
105,16.19,64.56,35.44,02078
118,10.17,56.57,43.43,02079
278,18.35,34.36,65.64,02080
319,19.12,55.41,44.59,02081
88,10.23,70.27,29.73,02082
519,16.57,66.32,33.68,02083
172,15.7,55.73,44.27,02084
674,22.85,50.0,50.0,02085
752,19.15,56.22,43.78,02086
23,4.35,45.45,54.55,02087
63,14.29,51.16,48.84,02088
841,20.45,57.07,42.93,02089
164,15.85,47.62,52.38,02090
71,11.27,41.82,58.18,02091
885,20.9,59.06,40.94,02093
333,20.72,49.78,50.22,02094
3553,28.23,61.59,38.41,02095
158,20.25,38.46,61.54,02096
195,22.05,57.46,42.54,02097
294,20.75,47.87,52.13,02098
173,12.14,57.85,42.15,02099
105,16.19,74.07,25.93,02100
138,24.64,67.78,32.22,02101
152,15.79,41.88,58.12,02102
907,23.93,59.87,40.13,02103
81,11.11,30.65,69.35,02104
153,20.26,60.19,39.81,02105
462,19.48,53.75,46.25,02106
68,20.59,68.89,31.11,02107
119,16.81,29.11,70.89,02108
372,16.13,64.98,35.02,02109
1481,23.09,57.27,42.73,02110
504,21.23,55.23,44.77,02111
494,17.61,61.28,38.72,02112
972,21.19,45.43,54.57,02114
136,12.5,52.29,47.71,02115
127,21.26,53.49,46.51,02116
63,22.22,73.33,26.67,02117
93,17.2,50.68,49.32,02118
228,19.3,63.47,36.53,02119
158,13.92,49.19,50.81,02120
162,19.75,68.7,31.3,02121
46,19.57,25.0,75.0,02122
231,8.66,60.23,39.77,02123
495,16.16,56.72,43.28,02124
149,15.44,52.0,48.0,02125
403,28.04,57.65,42.35,02126
148,19.59,62.5,37.5,02127
1171,19.98,41.21,58.79,02128
24,16.67,36.36,63.64,02129
160,18.75,59.22,40.78,02130
1491,20.32,52.44,47.56,02131
153,13.73,48.28,51.72,02132
301,18.27,61.88,38.12,02133
753,22.05,55.11,44.89,02134
827,18.86,66.07,33.93,02135
125,30.4,69.33,30.67,02136
84,27.38,59.26,40.74,02137
153,12.42,57.48,42.52,02138
336,17.56,65.63,34.38,02139
325,19.38,67.66,32.34,02140
1285,24.12,61.43,38.57,02141
199,12.56,53.33,46.67,02142
132,17.42,59.8,40.2,02143
103,17.48,42.47,57.53,02144
422,15.4,54.34,45.66,02145
66,15.15,38.0,62.0,02146
199,17.59,68.83,31.17,02148
50,8.0,37.84,62.16,02149
60,25.0,60.0,40.0,02150
87,12.64,38.24,61.76,02151
75,22.67,56.25,43.75,02152
352,15.63,44.09,55.91,02153
249,18.88,54.59,45.41,02154
135,20.74,33.33,66.67,02155
176,18.18,58.12,41.88,02156
602,14.45,43.27,56.73,02157
177,18.08,47.33,52.67,02158
235,24.26,61.44,38.56,02159
356,16.29,53.21,46.79,02160
175,11.43,62.41,37.59,02162
1662,23.89,49.69,50.31,02163
235,16.17,62.43,37.57,02164
1226,25.12,57.4,42.6,02165
258,23.26,46.11,53.89,02166
631,18.07,57.94,42.06,02167
9553,31.41,37.52,62.48,02168
76,17.11,76.79,23.21,02169
99,21.21,52.94,47.06,02170
75,17.33,54.0,46.0,02171
176,14.2,63.41,36.59,02172
7882,30.88,50.64,49.36,02173
589,24.45,53.33,46.67,02174
129,13.95,55.14,44.86,02175
153,22.22,70.0,30.0,02176
115,26.09,35.0,65.0,02177
84,15.48,57.89,42.11,02178
275,22.91,64.61,35.39,02179
503,17.5,51.08,48.92,02180
75,22.67,69.09,30.91,02181
124,25.81,63.77,36.23,02182
164,20.12,62.0,38.0,02183
229,17.9,73.37,26.63,02184
268,16.42,50.26,49.74,02185
1016,21.56,46.09,53.91,02186
829,21.83,38.2,61.8,02187
131,22.14,64.13,35.87,02188
268,18.66,70.05,29.95,02189
426,20.19,64.86,35.14,02190
333,15.62,53.16,46.84,02191
278,25.9,62.64,37.36,02192
57,24.56,47.5,52.5,02193
163,14.72,50.0,50.0,02194
667,18.29,59.68,40.32,02195
255,23.53,60.12,39.88,02196
416,22.6,56.06,43.94,02197
187,32.09,49.54,50.46,02198
423,20.57,62.34,37.66,02199
81,18.52,54.39,45.61,02200
238,14.29,65.41,34.59,02201
870,21.61,58.67,41.33,02203
65,12.31,41.18,58.82,02204
142,19.72,57.84,42.16,02205
72,18.06,43.75,56.25,02206
156,17.31,41.18,58.82,02207
203,17.73,50.0,50.0,02208
443,23.25,56.29,43.71,02209
300,23.0,63.26,36.74,02210
203,19.21,54.05,45.95,02211
526,20.15,58.5,41.5,02212
233,20.6,59.26,40.74,02213
40,17.5,67.86,32.14,02214
521,21.69,54.84,45.16,02215
235,16.6,49.71,50.29,02216
642,19.31,47.74,52.26,02217
416,20.19,44.56,55.44,02218
117,14.53,54.12,45.88,02219
325,21.85,55.41,44.59,02220
120,29.17,72.97,27.03,02221
26,11.54,45.45,54.55,02222
234,19.23,58.75,41.25,02223
262,20.61,73.77,26.23,02224
80,27.5,60.78,39.22,02225
1427,21.44,56.1,43.9,02226
96,16.67,74.63,25.37,02227
208,17.31,51.7,48.3,02228
55,20.0,18.75,81.25,02229
146,17.81,55.24,44.76,02230
587,15.67,56.19,43.81,02231
164,19.51,50.86,49.14,02232
110,15.45,67.53,32.47,02233
87,5.75,42.47,57.53,02234
89,21.35,51.52,48.48,02235
230,20.0,54.65,45.35,02236
984,24.39,61.68,38.32,02237
1240,22.9,57.31,42.69,02238
794,29.6,53.86,46.14,02239
177,18.08,51.3,48.7,02240
79,10.13,56.92,43.08,02241
417,18.94,51.41,48.59,02242
2059,26.86,50.38,49.62,02243
43,23.26,46.15,53.85,02244
1146,23.3,53.45,46.55,02245
442,21.27,58.6,41.4,02246
114,17.54,53.33,46.67,02248
77,10.39,45.9,54.1,02249
58,22.41,60.98,39.02,02250
32,9.38,55.56,44.44,02251
60,13.33,52.17,47.83,02252
305,25.25,50.24,49.76,02253
91,16.48,36.51,63.49,02254
106,18.87,65.75,34.25,02255
107,22.43,69.74,30.26,02256
343,18.95,50.8,49.2,02257
262,19.47,57.54,42.46,02258
327,16.82,47.39,52.61,02259
457,28.01,61.05,38.95,02260
291,22.34,62.3,37.7,02261
179,24.58,65.45,34.55,02262
99,22.22,61.64,38.36,02263
570,20.53,58.82,41.18,02264
78,19.23,66.67,33.33,02265
50,16.0,51.43,48.57,02266
227,19.38,54.3,45.7,02267
462,17.75,54.15,45.85,02268
120,22.5,46.67,53.33,02269
104,18.27,78.57,21.43,02270
101,17.82,44.3,55.7,02271
72,16.67,58.82,41.18,02272
164,12.2,64.34,35.66,02273
161,19.25,52.63,47.37,02274
250,23.6,67.48,32.52,02275
102,10.78,59.49,40.51,02276
254,30.31,60.0,40.0,02277
49,16.33,38.24,61.76,02278
418,16.03,50.0,50.0,02279
310,18.06,53.25,46.75,02280
177,19.77,56.9,43.1,02281
302,23.18,52.63,47.37,02282
222,22.07,62.26,37.74,02283
75,22.67,61.82,38.18,02284
636,23.43,62.67,37.33,02286
942,19.32,44.02,55.98,02287
282,24.47,59.68,40.32,02288
364,21.15,54.8,45.2,02289
2007,27.15,46.79,53.21,02290
278,22.3,50.52,49.48,02291
933,21.54,51.75,48.25,02292
413,20.34,54.39,45.61,02293
178,16.85,48.44,51.56,02294
649,25.58,63.7,36.3,02295
932,18.45,52.43,47.57,02296
90,22.22,47.62,52.38,02297
1036,24.32,65.04,34.96,02298
372,20.7,58.36,41.64,02299
204,18.14,55.86,44.14,02301
283,31.8,55.19,44.81,02302
543,17.5,29.41,70.59,02303
1579,37.62,56.49,43.51,02304
2010,23.28,53.4,46.6,02305
418,22.73,57.53,42.47,02306
1598,30.1,53.41,46.59,02307
363,14.33,63.6,36.4,02308
461,21.69,56.31,43.69,02309
209,16.75,59.35,40.65,02310
105,21.9,50.67,49.33,02311
789,20.66,66.13,33.87,02312
335,20.0,61.63,38.37,02313
1070,19.44,52.95,47.05,02315
131,15.27,45.36,54.64,02316
165,15.15,61.79,38.21,02317
1025,23.12,61.68,38.32,02318
364,24.18,60.32,39.68,02319
208,17.31,50.64,49.36,02320
693,21.07,50.51,49.49,02321
292,11.64,55.74,44.26,02322
90,13.33,54.17,45.83,02323
195,17.44,53.06,46.94,02324
388,19.07,55.68,44.32,02326
131,18.32,67.74,32.26,02327
425,17.65,47.85,52.15,02328
337,24.04,46.29,53.71,02329
387,16.28,38.6,61.4,02330
88,7.95,73.91,26.09,02331
179,20.11,54.03,45.97,02332
105,13.33,57.32,42.68,02333
2115,20.09,53.4,46.6,02334
164,21.95,68.38,31.62,02335
782,22.63,62.4,37.6,02336
148,20.95,57.41,42.59,02337
197,22.34,45.67,54.33,02338
499,26.05,54.83,45.17,02339
4161,25.84,52.53,47.47,02340
224,16.07,67.88,32.12,02341
111,12.61,63.1,36.9,02342
62,11.29,42.31,57.69,02343
31,19.35,58.82,41.18,02345
527,20.87,60.0,40.0,02346
391,20.2,50.53,49.47,02347
37,16.22,52.17,47.83,02349
115,13.91,59.34,40.66,02350
89,21.35,52.83,47.17,02351
364,20.05,57.09,42.91,02352
225,13.78,56.82,43.18,02353
68,20.59,74.0,26.0,02354
713,16.13,45.7,54.3,02355
137,25.55,53.49,46.51,02356
57,19.3,42.5,57.5,02357
292,21.58,64.62,35.38,02358
823,15.19,50.82,49.18,02359
1613,21.08,51.48,48.52,02360
3251,25.99,56.79,43.21,02361
189,17.46,47.79,52.21,02362
303,22.44,65.14,34.86,02363
193,19.17,45.38,54.62,02364
217,18.89,66.45,33.55,02366
