Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Part des rés. principales construites avant 1946 2016;Part des rés. principales dans le total des logements 2016;Part des rés. secondaires (y compris les logements occasionnels) dans le total des logements 2016;Part des logements vacants dans le total des logements 2016;Part des appartements dans le total des logements 2016;Part des maisons dans le total des logements 2016;Part des propriétaires dans les rés. principales 2016;Part des locataires dans les rés. principales 2016;Part des locataires HLM dans les rés. principales 2016
01262;Montluel;22;92;0.7;7.3;55.8;43.9;51.7;46.2;21.4
01263;Montmerle-sur-Saône;24.3;92.5;1.6;6;23.4;76.3;70.2;28;4
01264;Montracol;24.5;96.3;0.7;3;5.5;90.3;76.8;21.9;9.8
01265;Montréal-la-Cluse;15.2;90.9;1.8;7.2;55;44.8;45.1;53.6;32.1
01266;Montrevel-en-Bresse;12.7;90.1;2;7.9;37.3;62.6;58.3;40;16.2
01267;Nurieux-Volognat;22.8;91.6;3.1;5.3;16.9;82.5;77.5;21.3;11.1
01268;Murs-et-Gélignieux;38.1;83.4;9.5;7.1;1.6;97.6;81.9;16.2;4.8
01269;Nantua;34.2;78.1;4.5;17.4;79.7;20.1;36.2;60.7;24.8
01272;Neuville-les-Dames;35.6;86.6;3.4;10;24.3;72.5;66.1;32;8.7
01273;Neuville-sur-Ain;33.3;82.6;8;9.4;7.5;92.4;78.5;20.1;5.4
01274;Les Neyrolles;25.6;87.4;4;8.6;23.6;76.1;57;40.5;17.3
01275;Neyron;20.7;95.2;1.6;3.2;28;71.6;72.7;25;10.5
01276;Niévroz;15.1;95.5;1.2;3.2;3.2;95.9;89.8;8.8;0.2
01277;Nivollet-Montgriffon;52.5;57.1;28.9;14;7.8;92.2;66.1;32.2;0
01279;Oncieu;44.4;63;30.5;6.5;1.1;93.5;82.2;15.6;0
01280;Ordonnaz;40.3;57;31.5;11.5;3.2;96.8;87.5;12.5;0
01281;Ornex;2.8;92.1;3.6;4.3;51.8;47.8;56.3;41.4;15.8
01282;Outriaz;33.3;81.7;4.8;13.5;7.2;92.8;78.4;17.6;0
01283;Oyonnax;15.2;86.5;2;11.5;71.6;27.8;37.9;60.6;42.8
01284;Ozan;26.6;93.3;1.9;4.9;8.3;91.7;81.5;16.5;4
01285;Parcieux;24.7;91.7;3.1;5.2;12.7;86.9;75.3;23.8;1.3
01286;Parves et Nattages;35.2;79.6;12.2;8.2;2.5;97.1;89.3;9.4;0
01288;Péron;12.1;87.3;6.4;6.3;34.5;65.1;68;30.4;3.9
01289;Péronnas;6.3;91.8;1.3;6.9;34.4;63.4;63.2;35.3;17.4
01290;Pérouges;20.2;90;3.5;6.6;18.3;81.7;72.7;25.4;1.3
01291;Perrex;29.4;90.9;4.5;4.5;7.4;91.5;81.4;17.7;2.3
01293;Peyriat;29.2;84.2;13.2;2.6;3.9;96.1;90.8;9.2;0
01294;Peyrieu;41;85.1;6.7;8.2;4.2;95.5;80.5;16.6;5.8
01295;Peyzieux-sur-Saône;33.2;95.3;2.1;2.6;5.1;94.9;79.4;20.2;0.4
01296;Pirajoux;55.3;87;4.9;8.1;2.7;97.3;73.9;23;3.1
01297;Pizay;21.9;94.4;2.1;3.5;0.7;98.9;90.7;8.6;1.1
01298;Plagne;24.5;63.6;27.9;8.5;7.2;92.8;83;13.2;0
01299;Le Plantay;36.5;91.9;1.8;6.3;11.3;87.8;77.3;14.8;4.4
01301;Polliat;17.1;90;2;8;19.3;78.3;73.5;25.6;7.4
01302;Pollieu;45.8;74.1;15.5;10.4;1;99;86.1;9.7;0
01303;Poncin;38;79.3;7.3;13.4;20.5;78.4;61.3;36.6;12
01304;Pont-d'Ain;28.8;81.5;3.4;15.1;31;68.6;64.3;32.8;7.1
01305;Pont-de-Vaux;42.9;85.6;3.3;11.1;51.9;47.5;42;56.2;15
01306;Pont-de-Veyle;22;86.9;2.1;11;58.2;41.1;42.3;56.1;15.3
01307;Port;11.3;89.9;2.9;7.2;45.1;54.9;55.3;44.4;26.1
01308;Pougny;24;76.2;16.6;7.2;22.3;77.7;73.3;23.4;12
01309;Pouillat;60;75.8;11.2;13;1.9;98.1;92.5;5;0
01310;Prémeyzel;66.7;70.8;22.2;6.9;2.8;97.2;82.4;15.7;0
01311;Prémillieu;71.4;34;66;0;4.8;95.2;90.5;9.5;0
01313;Prévessin-Moëns;2.8;82.7;9.9;7.4;53;46.8;55.2;42.8;14.4
01314;Priay;23.3;84.8;7.5;7.7;12.3;86.5;73.4;25.2;4.9
01317;Ramasse;27.8;86.4;9.5;4.1;2.7;97.3;87.3;11.9;0
01318;Rancé;26.1;95.1;2;2.8;0.4;99.6;95.7;4.3;0
01319;Relevant;35.6;88.7;6.9;4.4;3.9;96.1;83.3;16.1;2.2
01320;Replonges;18.2;93.7;0.5;5.8;10.9;88.9;74.3;24.5;3.6
01321;Revonnas;18;94;1.3;4.7;4.4;95.6;83.4;14.8;5.8
01322;Reyrieux;19.6;93.8;2.2;4;11.6;87.8;76.6;21.1;7.7
01323;Reyssouze;33.1;85.5;6.7;7.8;4.3;95.2;78;18.9;2.3
01325;Rignieux-le-Franc;17;92.4;3.9;3.7;3.4;96.6;83.6;14.9;5.8
01328;Romans;31.3;83.7;7.1;9.2;7.7;91.9;72.4;26;8.3
