Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb créations d'entreprises 2018;Nb entreprises 2018;Part étab. sans salarié dans les étab. actifs au 31/12 2015;Part étab. de 1 à 9 salariés dans les étab. actifs au 31/12 2015;Part étab. de 10 salariés ou plus dans les étab. actifs au 31/12 2015;Part postes de l'agriculture, sylviculture, pêche dans les étab. actifs au 31/12 2015;Part postes de l'industrie dans les étab. actifs au 31/12 2015;Part postes de la construction dans les étab. actifs au 31/12 2015;Part postes du commerce, transport et services marchands dans les étab. actifs au 31/12 2015;Part postes de l'admin. publique, enseignement, santé et action sociale dans les étab. actifs au 31/12 2015
53124;Prée-d'Anjou;8;57;79.7;18;2.3;12.3;3.1;33.8;30.8;20
53125;Landivy;3;48;79.5;14.5;6;0.9;67.4;1.8;5.4;24.6
53126;Larchamp;3;39;84.4;12.5;3.1;22.6;17.9;9.5;21.4;28.6
53127;Lassay-les-Châteaux;11;129;64.7;29.4;5.9;5.5;29.2;7.3;22.6;35.5
53128;Laubrières;3;8;62.1;37.9;0;17.2;0;31;41.4;10.3
53129;Launay-Villiers;1;9;68;32;0;31.2;0;6.2;12.5;50
53130;Laval;461;3070;62.7;27.5;9.8;0.1;13;3.8;40.5;42.6
53131;Lesbois;1;7;68.4;26.3;5.3;21.1;0;0;68.4;10.5
53132;Levaré;6;11;80;20;0;35;20;0;10;35
53133;Lignières-Orgères;4;27;89.9;7.2;2.9;7.5;0;25;42.5;25
53134;Livet;0;4;81.2;18.8;0;0;0;0;85.7;14.3
53135;Livré-la-Touche;2;30;86.5;13.5;0;9.1;21.2;12.1;24.2;33.3
53136;La Roche-Neuville;6;35;83.7;15.2;1.1;4.3;2.2;17.4;39.1;37
53137;Loiron-Ruillé;8;100;72.7;21.6;5.7;5;18.2;8.5;43.4;25
53139;Loupfougères;2;8;75;25;0;20;0;0;53.3;26.7
53140;Louverné;27;178;69.2;21.5;9.3;0.6;53.4;13.4;25;7.7
53141;Louvigné;7;46;73.1;23.9;3;2.4;0;0;37.8;59.8
53142;Madré;1;18;78;22;0;6.5;0;58.1;25.8;9.7
53143;Maisoncelles-du-Maine;2;10;62.1;37.9;0;20.8;20.8;4.2;16.7;37.5
53144;Marcillé-la-Ville;1;27;77.4;17.7;4.8;5.6;62.5;20.1;0.7;11.1
53145;Marigné-Peuton;2;20;79.2;20.8;0;14.7;0;14.7;8.8;61.8
53146;Martigné-sur-Mayenne;11;74;73.1;19.9;7.1;2.3;38.9;4.6;16;38.2
53147;Mayenne;51;719;55.4;34.5;10;1.3;30.5;5;27.3;35.9
53148;Mée;1;13;70;30;0;11.9;0;35.7;40.5;11.9
53150;Ménil;9;40;79.2;18.8;2.1;16.5;0;6.2;56.7;20.6
53151;Méral;6;36;80.2;15.8;4;5.2;18.7;4.5;9;62.6
53152;Meslay-du-Maine;19;164;59.5;27.4;13.1;2.3;33.9;9.6;28;26.2
53153;Mézangers;4;20;78.4;21.6;0;9.5;0;0;47.6;42.9
53154;Montaudin;3;48;73;21;6;0.5;4.4;5.4;23;66.7
53155;Montenay;10;48;76.5;19.1;4.3;2.6;3.9;26.5;37.4;29.7
53156;Montflours;1;10;58.8;35.3;5.9;8.6;20;0;22.9;48.6
53157;Montigné-le-Brillant;8;52;84.1;14.8;1.1;22;14;6;16;42
53158;Montjean;2;45;72.5;25.3;2.2;11.8;2.9;40.2;21.6;23.5
53160;Montreuil-Poulay;1;17;72.1;25.6;2.3;11.8;11.8;17.6;45.1;13.7
53161;Montsûrs;15;141;68.6;24.2;7.2;2.1;43.4;9.1;15.8;29.6
53162;Moulay;1;37;60.4;31.2;8.3;0;6.5;13;73.4;7.1
53163;Neau;1;22;68.4;21.1;10.5;0.7;55.3;1.3;33.6;9.2
53164;Neuilly-le-Vendin;1;20;76.7;20.9;2.3;9.3;65.3;1.3;10.7;13.3
53165;Niafles;2;10;92.6;7.4;0;0;0;33.3;0;66.7
53168;Nuillé-sur-Vicoin;2;42;73.8;20;6.2;8;4.2;8;7;72.8
53169;Olivet;0;8;76.5;23.5;0;33.3;0;16.7;0;50
53170;Oisseau;4;29;75.6;22;2.4;7.1;1.2;7.1;17.9;66.7
53172;Origné;2;17;84.8;15.2;0;20;6.7;0;6.7;66.7
53173;La Pallu;1;8;72.7;27.3;0;12.5;0;0;81.2;6.2
53174;Parigné-sur-Braye;3;17;62.8;23.3;14;3.6;29;0;64.5;3
53175;Parné-sur-Roc;3;37;72.3;24.1;3.6;10.3;69.1;1.5;5.4;13.7
53176;Le Pas;0;14;78.6;19.6;1.8;14;0;15.8;8.8;61.4
53177;La Pellerine;2;13;68.4;28.9;2.6;47.3;0;25.5;14.5;12.7
53178;Peuton;1;8;80.8;19.2;0;14.3;0;14.3;57.1;14.3
53179;Placé;2;5;88.9;11.1;0;12.5;0;0;0;87.5
53180;Pommerieux;2;31;81.4;16.3;2.3;7;5.3;10.5;52.6;24.6
53181;Pontmain;2;26;43.5;34.8;21.7;0;28.3;7.9;24.7;39.1
53182;Port-Brillet;4;63;61.7;24.5;13.8;0;37.7;1.9;25.3;35
53184;Préaux;0;10;84.8;15.2;0;12.5;0;0;75;12.5
53185;Pré-en-Pail-Saint-Samson;5;125;67.1;25.4;7.5;1.5;22.2;8.2;28.9;39.2
53186;Quelaines-Saint-Gault;12;93;75.5;22;2.5;2.5;1.4;17.6;57.7;20.8
53187;Ravigny;0;14;55.6;44.4;0;16.7;0;25;25;33.3
53188;Renazé;5;116;66.8;25.3;7.9;0.7;47.4;16.6;11;24.2
53189;Rennes-en-Grenouilles;0;0;71.4;28.6;0;80;0;0;0;20
53190;Le Ribay;1;18;74.4;25.6;0;6.1;21.2;9.1;30.3;33.3
53191;La Roë;0;14;84.2;15.8;0;35.3;0;41.2;0;23.5
53192;La Rouaudière;1;9;80;20;0;34.8;0;26.1;13;26.1
53193;Ruillé-Froid-Fonds;5;23;84.5;12.1;3.4;3.9;0;0;82.4;13.7
53195;Sacé;1;10;86.5;13.5;0;28.6;0;0;14.3;57.1
53196;Saint-Aignan-de-Couptrain;0;12;79.1;18.6;2.3;50;0;0;18.4;31.6
53197;Saint-Aignan-sur-Roë;5;47;68.9;23.3;7.8;6.1;22.3;9.5;21.8;40.2
53198;Saint-Aubin-du-Désert;2;13;82.9;17.1;0;38.5;0;0;38.5;23.1
53199;Saint-Aubin-Fosse-Louvain;0;11;92.1;7.9;0;57.1;14.3;0;0;28.6
53200;Saint-Baudelle;4;20;74.4;23.1;2.6;0;0;15.2;36.4;48.5
53201;Saint-Berthevin;67;518;60.9;28.2;10.9;0.2;28.8;6.7;57;7.2
53202;Saint-Berthevin-la-Tannière;0;16;71.4;22.4;6.1;2.8;23.4;12.1;52.3;9.3
53203;Saint-Brice;2;11;87.5;12.5;0;6.7;0;53.3;0;40
53204;Saint-Calais-du-Désert;2;5;88;12;0;16.7;0;0;0;83.3
53206;Saint-Charles-la-Forêt;0;6;71.4;28.6;0;21.4;0;0;42.9;35.7
53208;Saint-Cyr-en-Pail;2;19;87.2;12.8;0;8.3;0;41.7;0;50
53209;Saint-Cyr-le-Gravelais;3;14;84.1;15.9;0;26.7;0;60;0;13.3
53210;Saint-Denis-d'Anjou;8;66;79.7;16.4;3.9;3;14.5;12;20.5;50
53211;Saint-Denis-de-Gastines;2;57;78.4;18.6;3;5.2;0.8;23.8;30.6;39.5
53212;Saint-Denis-du-Maine;3;19;78.9;21.1;0;20;0;20;40;20
53213;Saint-Ellier-du-Maine;1;15;85.1;14.9;0;5.3;0;26.3;52.6;15.8
53214;Saint-Erblon;0;12;73.7;26.3;0;21.4;0;0;64.3;14.3
53216;Saint-Fraimbault-de-Prières;1;26;77.3;16.7;6.1;0.9;7.3;0.9;63.4;27.4
53218;Sainte-Gemmes-le-Robert;3;23;81.9;15.3;2.8;2.4;1.2;52.9;27.1;16.5
53219;Saint-Georges-Buttavent;3;62;83;13.2;3.8;1.8;50.3;13.8;20.4;13.8
53220;Saint-Georges-le-Fléchard;0;11;79.2;20.8;0;43.8;18.8;0;0;37.5
53221;Saint-Georges-sur-Erve;1;13;73.3;26.7;0;10.5;0;15.8;10.5;63.2
53222;Saint-Germain-d'Anxure;2;7;83.9;16.1;0;25;0;0;8.3;66.7
53223;Saint-Germain-de-Coulamer;1;12;69.4;30.6;0;15.4;0;30.8;30.8;23.1
53224;Saint-Germain-le-Fouilloux;3;36;81;17.2;1.7;4.7;2.3;9.3;32.6;51.2
53225;Saint-Germain-le-Guillaume;1;12;75.7;21.6;2.7;12.9;0;3.2;58.1;25.8
53226;Saint-Hilaire-du-Maine;6;22;87.8;11;1.2;6.1;0;6.1;21.2;66.7
53228;Blandouet-Saint Jean;1;26;84.5;15.5;0;51.7;0;10.3;10.3;27.6
53229;Saint-Jean-sur-Mayenne;11;58;79.1;17.4;3.5;4.2;31.2;0;26;38.5
53230;Saint-Julien-du-Terroux;0;13;77.3;22.7;0;50;0;0;33.3;16.7
53232;Saint-Léger;1;12;84.6;15.4;0;75;0;0;0;25
53233;Saint-Loup-du-Dorat;3;13;66.7;29.2;4.2;2.9;0;2.9;70.6;23.5
53234;Saint-Loup-du-Gast;1;8;80;20;0;36.4;0;0;27.3;36.4
53235;Sainte-Marie-du-Bois;2;9;75;25;0;50;0;33.3;0;16.7
53236;Saint-Mars-du-Désert;0;6;76.9;23.1;0;53.8;0;0;30.8;15.4
53237;Saint-Mars-sur-Colmont;5;22;81.8;18.2;0;13;0;26.1;30.4;30.4
53238;Saint-Mars-sur-la-Futaie;3;17;86.2;13.8;0;18.2;0;13.6;27.3;40.9
53239;Saint-Martin-de-Connée;2;21;81.4;18.6;0;9.5;19;0;33.3;38.1
53240;Saint-Martin-du-Limet;2;14;81.1;18.9;0;18.8;6.2;43.8;18.8;12.5
53242;Saint-Michel-de-la-Roë;2;7;73.5;26.5;0;76.5;11.8;0;0;11.8
53243;Saint-Ouën-des-Toits;8;84;73.6;20.2;6.2;3;18.1;24.5;34.6;19.8
53245;Saint-Pierre-des-Landes;6;43;82.6;14.9;2.5;3.7;14.6;7.8;67.3;6.5
53246;Saint-Pierre-des-Nids;7;70;74.6;23;2.4;6.3;4.9;7;30.1;51.7
53247;Saint-Pierre-la-Cour;12;66;60.2;29.2;10.6;0.2;46;22.2;9.4;22.2
53248;Saint-Pierre-sur-Erve;1;9;81.8;18.2;0;14.3;0;0;14.3;71.4
53249;Saint-Pierre-sur-Orthe;1;20;67.9;30.4;1.8;18;42;14;8;18
53250;Saint-Poix;0;10;84.4;15.6;0;14.3;0;0;42.9;42.9
53251;Saint-Quentin-les-Anges;0;15;78.3;19.6;2.2;11.1;0;4.4;55.6;28.9
53253;Saint-Saturnin-du-Limet;1;13;69.7;24.2;6.1;2.8;72;0;5.1;20.1
53255;Sainte-Suzanne-et-Chammes;9;73;81;16.3;2.7;1.9;1.9;32.5;17.5;46.2
53256;Saint-Thomas-de-Courceriers;2;17;74.3;25.7;0;60;0;10;20;10
53257;Saulges;2;16;70;28;2;24.5;0;20.4;26.5;28.6
53258;La Selle-Craonnaise;0;33;71.8;18.8;9.4;9.5;17.8;6.5;1.8;64.4
53259;Senonnes;2;29;69.4;22.6;8.1;25.4;0;0;20.2;54.4
53260;Simplé;1;22;70.3;24.3;5.4;0;1.2;92.1;0.6;6.1
53261;Soucé;2;9;91.7;8.3;0;50;0;0;0;50
53262;Soulgé-sur-Ouette;4;45;74.1;14.1;11.8;1.5;0;37.1;23.4;38.1
53263;Thuboeuf;0;8;83.3;16.7;0;20;0;20;40;20
53264;Thorigné-en-Charnie;1;9;79.4;17.6;2.9;3.2;0;0;87.1;9.7
53265;Torcé-Viviers-en-Charnie;4;32;84;13.6;2.5;4.3;61.4;8.6;5.7;20
53266;Trans;2;7;77.3;22.7;0;25;0;25;0;50
53267;Vaiges;4;71;67.9;26;6.1;1.8;16.8;5.4;49.1;26.9
53269;Vautorte;2;23;84.1;14.5;1.4;7.5;11.3;22.6;35.8;22.6
53270;Vieuvy;0;2;76.5;23.5;0;75;0;0;0;25
53271;Villaines-la-Juhel;9;156;62.1;27.3;10.7;0.4;23.8;3.4;50;22.4
53272;Villepail;0;8;90;10;0;0;81.8;0;0;18.2
53273;Villiers-Charlemagne;6;53;80.2;17.9;1.9;3.2;22.2;11.1;8.7;54.8
53274;Vimarcé;2;9;78.4;21.6;0;35.3;0;47.1;0;17.6
53276;Voutré;5;24;80.4;15.7;3.9;1.1;89.2;0.5;1.6;7.6
54001;Abaucourt;2;7;80;20;0;9.1;0;72.7;0;18.2
54002;Abbéville-lès-Conflans;0;10;80;20;0;14.3;0;42.9;14.3;28.6
54003;Aboncourt;0;5;84.6;15.4;0;50;0;0;0;50
54004;Affléville;1;11;77.8;22.2;0;25;0;25;0;50
54005;Affracourt;1;4;92.9;7.1;0;0;0;0;0;100
54006;Agincourt;1;28;71.4;28.6;0;8.1;5.4;10.8;67.6;8.1
54007;Aingeray;3;14;72.7;27.3;0;2.9;0;17.6;44.1;35.3
54008;Allain;3;35;66;23.4;10.6;1;20.3;13.5;51.7;13.5
54009;Allamont;2;5;86.7;13.3;0;0;0;0;75;25
54010;Allamps;2;19;75.7;18.9;5.4;0;46.1;0;0.6;53.3
54011;Allondrelle-la-Malmaison;0;16;84.6;15.4;0;8.3;0;16.7;25;50
54012;Amance;2;19;76.9;23.1;0;6.7;0;0;66.7;26.7
54013;Amenoncourt;0;2;42.9;57.1;0;85.7;0;0;0;14.3
54014;Ancerviller;0;13;78.3;21.7;0;14.3;14.3;0;14.3;57.1
54015;Anderny;0;10;77.8;22.2;0;7.7;61.5;0;0;30.8
54016;Andilly;0;11;66.7;33.3;0;8.3;0;0;25;66.7
54017;Angomont;0;2;72.7;27.3;0;0;0;0;20;80
54018;Anoux;2;10;68.8;31.2;0;11.1;22.2;11.1;0;55.6
54019;Ansauville;0;4;80;20;0;50;0;0;0;50
54020;Anthelupt;1;19;68.4;28.9;2.6;7.4;0;66.2;14.7;11.8
54021;Armaucourt;1;18;70.4;29.6;0;35.7;0;28.6;0;35.7
54022;Arnaville;1;26;84.8;15.2;0;0;0;50;9.1;40.9
54023;Arracourt;4;12;69.2;30.8;0;37.5;37.5;0;6.2;18.8
54024;Arraye-et-Han;1;9;75;20;5;11.1;0;5.6;0;83.3
54025;Art-sur-Meurthe;5;64;88.5;6.4;5.1;0.5;0;1;16.6;81.9
54026;Athienville;0;4;65;35;0;55.6;0;11.1;0;33.3
54027;Atton;4;58;51.7;25.3;23;0.2;11.1;10.4;76.7;1.6
54028;Auboué;15;102;72.8;23.8;3.3;0.5;19.9;3.7;23.6;52.3
54029;Audun-le-Roman;15;113;69.2;24.5;6.3;0;16.1;7;32.5;44.4
54030;Autrepierre;1;3;75;25;0;0;0;33.3;0;66.7
54031;Autreville-sur-Moselle;2;15;79.2;20.8;0;12.5;0;12.5;12.5;62.5
54032;Autrey;1;12;87.5;12.5;0;25;0;25;0;50
54033;Avillers;0;4;100;0;0;N/A;N/A;N/A;N/A;N/A
54034;Avrainville;1;10;68.8;31.2;0;0;14.3;14.3;42.9;28.6
54035;Avricourt;3;16;71.4;28.6;0;0;0;32;48;20
54036;Avril;1;26;73.9;26.1;0;0;0;16.7;52.4;31
54037;Azelot;2;13;80;16;4;0;0;0;84.2;15.8
54038;Azerailles;1;34;64.3;28.6;7.1;1.3;73;2;20.2;3.6
54039;Baccarat;18;195;64.5;29.3;6.2;0.1;42.3;2.6;19.6;35.4
54040;Badonviller;7;54;63.4;28.7;7.9;0.8;2.3;8.6;19.1;69.1
54041;Bagneux;1;9;71.4;28.6;0;57.1;28.6;14.3;0;0
54042;Bainville-aux-Miroirs;1;14;79.2;20.8;0;7.7;0;0;53.8;38.5
54043;Bainville-sur-Madon;7;40;80.3;13.1;6.6;0.2;0;1.2;9.4;89.2
54044;Barbas;1;6;58.8;35.3;5.9;21.1;0;68.4;0;10.5
54045;Barbonville;7;18;80;20;0;18.8;0;0;68.8;12.5
54046;Barisey-au-Plain;1;10;62.5;33.3;4.2;15.2;0;3;63.6;18.2
54047;Barisey-la-Côte;1;6;73.3;26.7;0;25;37.5;0;12.5;25
54048;Les Baroches;2;14;78.8;21.2;0;5;0;50;0;45
54049;Baslieux;3;14;75;25;0;4;0;16;36;44
54050;Bathelémont;0;4;44.4;55.6;0;9.1;81.8;0;0;9.1
54051;Batilly;5;54;81.2;12.5;6.2;0;93.8;0.4;5.1;0.7
54052;Battigny;0;9;86.7;13.3;0;0;0;0;66.7;33.3
54053;Bauzemont;0;4;73.3;26.7;0;9.1;72.7;9.1;0;9.1
54054;Bayon;10;101;70.4;25.2;4.4;0;8.2;6.4;17.3;68
54055;Bayonville-sur-Mad;3;22;71.9;25;3.1;0;73.2;0;24.4;2.4
54056;Bazailles;0;6;66.7;33.3;0;0;20;0;40;40
54057;Beaumont;1;4;42.9;42.9;14.3;7.7;65.4;0;23.1;3.8
54058;Béchamps;0;3;63.6;36.4;0;80;0;0;0;20
54059;Belleau;4;23;70.2;25.5;4.3;8.7;0;55.1;27.5;8.7
54060;Belleville;9;67;70.1;25.8;4.1;0;35.1;8.8;45;11.1
54061;Bénaménil;1;28;71.1;24.4;4.4;2.7;32;0;18.7;46.7
54062;Benney;5;35;73.6;26.4;0;12.5;14.6;16.7;0;56.2
54063;Bernécourt;1;12;44;56;0;6.8;2.3;25;36.4;29.5
54064;Bertrambois;0;9;87;8.7;4.3;0;84.2;0;5.3;10.5
54065;Bertrichamps;5;48;75.4;21.7;2.9;0;13.8;19.8;37.1;29.3
54066;Bettainvillers;1;14;80;20;0;0;0;83.3;8.3;8.3
54067;Beuveille;0;32;81.6;18.4;0;23.5;0;5.9;5.9;64.7
54068;Beuvezin;0;1;66.7;33.3;0;87.5;0;0;0;12.5
54069;Beuvillers;0;15;78.6;14.3;7.1;3.1;0;73.4;20.3;3.1
54070;Bey-sur-Seille;1;7;71.4;28.6;0;0;0;0;0;100
54071;Bezange-la-Grande;2;9;75;25;0;20;20;0;0;60
54072;Bezaumont;2;11;71.4;21.4;7.1;0;0;0;86.8;13.2
54073;Bicqueley;1;28;87.8;12.2;0;0;12.5;12.5;18.8;56.2
54074;Bienville-la-Petite;0;2;80;20;0;0;0;0;100;0
54075;Bionville;3;6;81.8;18.2;0;25;0;0;0;75
54076;Blainville-sur-l'Eau;20;151;66.2;26.3;7.5;0;10.4;11.5;40.4;37.6
54077;Blâmont;5;63;55.4;38.4;6.2;0.2;4;4.7;21.3;69.7
54078;Blémerey;0;3;71.4;28.6;0;50;0;0;0;50
54079;Blénod-lès-Pont-à-Mousson;21;156;71.9;21.9;6.2;0.5;46.8;5;16.4;31.3
54080;Blénod-lès-Toul;5;51;85.7;13;1.3;2.4;31;9.5;23.8;33.3
54081;Boismont;1;16;83.3;13.9;2.8;13.6;68.2;0;9.1;9.1
54082;Boncourt;1;6;87.5;12.5;0;50;0;0;0;50
54083;Bonviller;0;0;75;25;0;0;0;0;0;100
54084;Mont-Bonvillers;2;13;89.7;6.9;3.4;0;0;0;4.5;95.5
54085;Borville;1;3;100;0;0;N/A;N/A;N/A;N/A;N/A
54086;Boucq;3;13;57.1;38.1;4.8;10;0;55;17.5;17.5
54087;Bouillonville;0;9;75;25;0;50;0;25;0;25
54088;Bouvron;2;13;61.9;38.1;0;54.5;0;0;40.9;4.5
54089;Bouxières-aux-Chênes;6;81;85;11.2;3.7;5.3;21.1;18.9;36.8;17.9
54090;Bouxières-aux-Dames;16;157;79.9;14.7;5.4;0.3;5;3.9;66.1;24.7
54091;Bouxières-sous-Froidmont;2;15;76.9;23.1;0;11.1;0;11.1;55.6;22.2
54092;Bouzanville;1;1;100;0;0;N/A;N/A;N/A;N/A;N/A
54093;Brainville;1;6;89.5;10.5;0;50;0;0;0;50
54094;Bralleville;0;19;84.2;10.5;5.3;3.8;0;88.5;0;7.7
54095;Bratte;1;2;80;20;0;0;0;0;0;100
54096;Bréhain-la-Ville;1;9;66.7;33.3;0;0;20;20;20;40
54097;Bréménil;0;7;62.5;37.5;0;25;0;25;0;50
54098;Brémoncourt;2;5;78.6;14.3;7.1;0;76.9;15.4;0;7.7
54099;Val de Briey;50;441;64.1;25.7;10.2;0.1;14.3;4.8;20.2;60.6
54100;Brin-sur-Seille;3;40;81.1;18.9;0;7.1;0;42.9;14.3;35.7
54101;Brouville;0;4;83.3;16.7;0;33.3;0;0;0;66.7
54102;Bruley;6;30;68.9;28.9;2.2;4.5;11.9;52.2;10.4;20.9
54103;Bruville;1;4;94.7;5.3;0;0;0;0;0;100
54104;Buissoncourt;1;10;87.5;12.5;0;0;0;66.7;0;33.3
54105;Bulligny;0;14;78.8;21.2;0;4.8;0;4.8;23.8;66.7
54106;Bures;1;6;52.6;42.1;5.3;30.4;0;0;56.5;13
54107;Buriville;0;2;33.3;66.7;0;40;40;0;0;20
54108;Burthecourt-aux-Chênes;0;5;92.9;7.1;0;0;0;0;0;100
54109;Ceintrey;6;46;73.6;22.2;4.2;3.2;22.3;2.1;60.6;11.7
54110;Cerville;1;27;72.7;24.2;3;4.4;4.4;5.9;75;10.3
54111;Chaligny;13;95;86.9;11.7;1.4;0;3;10;20;67
54112;Chambley-Bussières;5;27;81;16.7;2.4;11.8;2.9;0;50;35.3
54113;Champenoux;13;97;68.8;26.8;4.5;1;2;5.5;66.7;24.8
54114;Champey-sur-Moselle;3;11;81.2;18.8;0;0;0;0;20;80
54115;Champigneulles;32;293;67.2;22.7;10.1;0;42.4;4.4;41.8;11.4
54116;Chanteheux;15;106;68.5;24.8;6.7;0.2;7.6;21.4;29.8;41.1
54117;Chaouilley;0;2;75;25;0;50;0;0;0;50
54118;Charency-Vezin;4;17;74.1;25.9;0;15;5;25;0;55
54119;Charey;1;3;77.8;22.2;0;50;0;0;0;50
54120;Charmes-la-Côte;2;16;85.2;14.8;0;33.3;0;33.3;0;33.3
54121;Charmois;0;5;75;25;0;10;0;0;80;10
54122;Chaudeney-sur-Moselle;2;26;84;10;6;0;31.3;37.4;22.4;8.8
54123;Chavigny;11;92;83.7;14;2.3;0;10.8;18.9;33.3;36.9
54124;Chazelles-sur-Albe;0;1;66.7;33.3;0;0;0;0;0;100
54125;Chenevières;0;11;59.1;40.9;0;3.6;25;3.6;32.1;35.7
54126;Chenicourt;1;10;71.4;28.6;0;0;0;83.3;8.3;8.3
54127;Chenières;1;18;67.5;30;2.5;2.5;1.2;21.2;11.2;63.8
54128;Choloy-Ménillot;1;22;86.4;11.4;2.3;0;0;0;75.9;24.1
54129;Cirey-sur-Vezouze;4;85;73.5;21.3;5.1;4.3;11.7;14.9;18.1;50.9
54130;Clayeures;1;9;80;20;0;14.3;0;57.1;28.6;0
54131;Clémery;6;21;80.4;19.6;0;13.3;6.7;40;6.7;33.3
54132;Clérey-sur-Brenon;0;0;75;25;0;100;0;0;0;0
54133;Coincourt;2;3;72.2;27.8;0;100;0;0;0;0
54134;Colmey;0;3;66.7;33.3;0;12.5;0;0;0;87.5
54135;Colombey-les-Belles;5;87;64.8;27;8.2;0;24.4;4.9;22.1;48.6
54136;Conflans-en-Jarnisy;8;90;54.6;36.2;9.2;0;5.5;4.3;79.5;10.7
54137;Cons-la-Grandville;4;27;67.3;32.7;0;2.9;20.6;10.3;39.7;26.5
54138;Cosnes-et-Romain;17;132;66.1;26.8;7.1;0.2;19;15.2;38.2;27.3
54139;Courbesseaux;1;11;85.7;14.3;0;25;0;0;25;50
54140;Courcelles;0;4;92.3;7.7;0;0;0;0;100;0
54141;Coyviller;2;6;71.4;28.6;0;23.5;0;29.4;41.2;5.9
54142;Crantenoy;1;4;83.3;16.7;0;100;0;0;0;0
54143;Crépey;0;14;81.5;18.5;0;0;0;12.5;18.8;68.8
54144;Crévéchamps;0;13;72;24;4;44;0;20;20;16
54145;Crévic;4;23;95.7;4.3;0;0;0;0;0;100
54146;Crézilles;2;15;88;12;0;20;60;0;0;20
54147;Crion;1;6;53.8;46.2;0;35.7;0;57.1;0;7.1
54148;Croismare;3;12;77.3;22.7;0;0;17.6;41.2;0;41.2
54149;Crusnes;8;42;80.3;16.4;3.3;3;4.5;1.5;54.5;36.4
54150;Custines;21;144;64.2;22.1;13.7;0;34.7;8.9;45.5;11
54151;Cutry;3;28;79.1;16.3;4.7;0;0;50;13.3;36.7
54152;Damelevières;14;113;68.6;25.4;5.9;1;9.9;18;48.3;22.7
54153;Dampvitoux;0;0;66.7;33.3;0;50;0;0;0;50
54154;Deneuvre;1;20;77.4;16.1;6.5;2.9;0;0;91.2;5.9
54155;Deuxville;2;18;80.6;19.4;0;15.4;0;7.7;38.5;38.5
54156;Diarville;0;34;64.8;33.3;1.9;2.7;19.2;1.4;27.4;49.3
54157;Dieulouard;21;155;65.9;25.3;8.7;0.2;25.3;10.8;31.8;31.8
54158;Dolcourt;0;4;55.6;44.4;0;0;37.5;50;0;12.5
54159;Dombasle-sur-Meurthe;48;375;70.3;21.1;8.6;0;25.2;3.6;20.7;50.5
54160;Domèvre-en-Haye;1;24;69.7;30.3;0;0;0;13.3;23.3;63.3
54161;Domèvre-sur-Vezouze;2;13;73.3;26.7;0;33.3;0;27.8;11.1;27.8
54162;Domgermain;5;34;76.6;18.8;4.7;1.1;8.7;2.2;63;25
54163;Domjevin;0;10;70;25;5;8.5;87.2;0;2.1;2.1
54164;Dommarie-Eulmont;1;8;91.7;8.3;0;0;0;0;0;100
54165;Dommartemont;13;79;79.4;14.7;5.9;0;0;0;51.8;48.2
54166;Dommartin-la-Chaussée;0;3;71.4;28.6;0;0;0;0;66.7;33.3
54167;Dommartin-lès-Toul;11;107;54.2;36.7;9;0;3;5.2;78.8;13
54168;Dommartin-sous-Amance;1;16;68.8;31.2;0;16.2;0;0;54.1;29.7
54169;Domprix;0;5;87.5;12.5;0;0;0;0;100;0
54170;Domptail-en-l'Air;0;3;75;25;0;0;0;0;0;100
54171;Doncourt-lès-Conflans;6;32;80;18;2;5.6;5.6;11.1;25;52.8
54172;Doncourt-lès-Longuyon;0;11;94.7;5.3;0;0;0;0;0;100
54173;Drouville;2;2;81.2;18.8;0;40;0;20;0;40
54174;Écrouves;22;116;69.3;22.1;8.6;0;0;9.2;35.1;55.7
54175;Einvaux;1;19;63.3;36.7;0;2.9;17.1;14.3;37.1;28.6
54176;Einville-au-Jard;2;65;65.5;26.5;8;3.4;26.6;6.3;21;42.6
54177;Emberménil;1;1;72.7;27.3;0;0;0;0;0;100
54178;Épiez-sur-Chiers;0;4;75;25;0;0;0;40;0;60
54179;Éply;2;8;88;12;0;0;33.3;0;33.3;33.3
54180;Erbéviller-sur-Amezule;0;1;90;10;0;0;0;0;0;100
54181;Errouville;0;10;81.2;18.8;0;0;0;0;8.3;91.7
54182;Essey-et-Maizerais;2;22;47.1;50;2.9;6.4;2.6;11.5;61.5;17.9
54183;Essey-la-Côte;1;1;75;25;0;0;0;50;0;50
54184;Essey-lès-Nancy;72;570;60.8;30.9;8.3;0.1;4.6;2.9;52.9;39.5
54185;Étreval;0;3;66.7;33.3;0;50;0;0;0;50
54186;Eulmont;9;50;89.4;6.1;4.5;0;49.4;5.2;13;32.5
54187;Euvezin;2;4;81.8;18.2;0;50;0;0;0;50
54188;Faulx;2;52;74.6;22.5;2.8;1;5.8;3.1;3.7;86.4
54189;Favières;3;25;81;14.3;4.8;2.3;27.9;2.3;7;60.5
54190;Fécocourt;1;5;80;20;0;50;0;50;0;0
54191;Fenneviller;0;2;71.4;28.6;0;0;71.4;0;0;28.6
54192;Ferrières;2;21;80;20;0;0;18.2;40.9;31.8;9.1
54193;Fey-en-Haye;0;4;75;25;0;0;0;0;40;60
54194;Fillières;2;20;82.4;17.6;0;18.2;0;9.1;9.1;63.6
