Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des non ou peu diplômés dans la pop. non scolarisée de 15 ans ou + 2016;Part des pers., dont le diplôme le plus élevé est un CAP ou un BEP, dans la pop. non scolarisée de 15 ans ou + 2016;Part des pers., dont le diplôme le plus élevé est le bac, dans la pop. non scolarisée de 15 ans ou + 2016;Part des diplômés de l'enseignement sup. dans la pop. non scolarisée de 15 ans ou + 2016
01259;Montcet;20.8;30.1;19.8;29.3
01260;Le Montellier;18.8;27.5;18.4;35.3
01261;Monthieux;16.1;25.2;20.8;37.9
01262;Montluel;33;25.5;17.1;24.3
01263;Montmerle-sur-Saône;26.7;28.5;16.5;28.3
01264;Montracol;25.7;29.4;18.7;26.2
01265;Montréal-la-Cluse;42.1;27.4;14.5;15.9
01266;Montrevel-en-Bresse;32.6;31.7;17.8;17.9
01267;Nurieux-Volognat;27.2;31.7;18;23.1
01268;Murs-et-Gélignieux;31.2;32.3;12.9;23.7
01269;Nantua;40.5;21.5;16.6;21.4
01272;Neuville-les-Dames;29.4;30.9;17.3;22.4
01273;Neuville-sur-Ain;25.3;32.1;19.7;22.9
01274;Les Neyrolles;48.7;25.6;14.5;11.2
01275;Neyron;16.5;24;16.7;42.8
01276;Niévroz;24.1;27.2;17.8;30.9
01277;Nivollet-Montgriffon;15.1;39.8;14;31.2
01279;Oncieu;23.2;29;17.4;30.4
01280;Ordonnaz;31.1;27.4;17.9;23.6
01281;Ornex;16.5;16.3;16.4;50.8
01282;Outriaz;33.8;21.7;16;28.5
01283;Oyonnax;48.8;21.9;13.8;15.5
01284;Ozan;35.4;33.8;16.6;14.1
01285;Parcieux;15.9;25.9;17.1;41.1
01286;Parves et Nattages;18.2;26.3;22.1;33.4
01288;Péron;16.1;27;19.6;37.3
01289;Péronnas;28.7;27.3;16.4;27.6
01290;Pérouges;34.8;20.3;21.9;23.1
01291;Perrex;26.2;32.3;17.2;24.3
01293;Peyriat;16.2;30.6;22.5;30.6
01294;Peyrieu;27.2;32.9;16.1;23.8
01295;Peyzieux-sur-Saône;17;34.9;16.5;31.6
01296;Pirajoux;31.9;34.8;16.3;17
01297;Pizay;24;34.5;15.1;26.4
01298;Plagne;20.2;33.3;14.1;32.3
01299;Le Plantay;19;29.5;19.7;31.8
01301;Polliat;24.1;31.6;18.4;25.9
01302;Pollieu;24.2;32.3;21;22.6
01303;Poncin;28.4;30.9;16.7;24
01304;Pont-d'Ain;33.5;29.2;15.8;21.6
01305;Pont-de-Vaux;34.5;35.1;14.5;16
01306;Pont-de-Veyle;36.7;29.2;16.9;17.2
01307;Port;36.6;27.4;15.2;20.8
01308;Pougny;18;30.6;18.1;33.3
01309;Pouillat;17.2;40.6;18.7;23.4
01310;Prémeyzel;43;30;14.5;12.6
01311;Prémillieu;8.6;37.1;14.3;40
01313;Prévessin-Moëns;12.9;15.7;15.6;55.8
01314;Priay;21.1;31.6;20.7;26.6
01317;Ramasse;25.5;34.3;19.9;20.4
01318;Rancé;24.3;25.7;18.5;31.5
01319;Relevant;27.3;29;18.7;24.9
01320;Replonges;28.9;31.1;16.6;23.5
01321;Revonnas;17.5;24.2;17.5;40.9
01322;Reyrieux;22.9;22.4;17.2;37.5
01323;Reyssouze;34.4;30.3;16.5;18.8
01325;Rignieux-le-Franc;21.9;28.6;19.4;30
01328;Romans;35.7;24.7;17.2;22.5
01329;Rossillon;35.3;36.8;16.5;11.3
01330;Ruffieu;28.1;25.9;19.4;26.6
01331;Saint-Alban;28.3;29.1;21.3;21.3
01332;Saint-André-de-Bâgé;25;30.7;18.2;26.1
01333;Saint-André-de-Corcy;23.5;26.9;18.6;31
01334;Saint-André-d'Huiriat;23.3;31.4;16.2;29.1
01335;Saint-André-le-Bouchoux;28.2;29.4;15.5;27
01336;Saint-André-sur-Vieux-Jonc;27.3;30.5;19.8;22.4
01337;Saint-Bénigne;28.6;32.7;17.6;21.2
01338;Groslée-Saint-Benoit;27.1;32.4;17.9;22.5
01339;Saint-Bernard;18.7;23.4;15.6;42.3
01342;Sainte-Croix;15.4;30.2;18.5;35.9
01343;Saint-Cyr-sur-Menthon;25.5;32.5;17.7;24.2
01344;Saint-Denis-lès-Bourg;28.7;25.1;17.5;28.8
01345;Saint-Denis-en-Bugey;28.7;35.7;17.2;18.4
01346;Saint-Didier-d'Aussiat;27.9;34.1;17.5;20.6
01347;Saint-Didier-de-Formans;20.7;25.9;16;37.4
01348;Saint-Didier-sur-Chalaronne;31.5;30.2;17.6;20.8
01349;Saint-Éloi;18.1;30.7;16;35.2
01350;Saint-Étienne-du-Bois;24.5;33.4;19.6;22.5
01351;Saint-Étienne-sur-Chalaronne;28.1;30.3;18;23.6
01352;Saint-Étienne-sur-Reyssouze;32.8;30.6;18;18.7
01353;Sainte-Euphémie;19.1;25;16.8;39.2
01354;Saint-Genis-Pouilly;21.2;17.9;17.7;43.1
01355;Saint-Genis-sur-Menthon;27.4;31.1;17.6;23.9
01356;Saint-Georges-sur-Renon;22.6;21.2;21.2;34.9
01357;Saint-Germain-de-Joux;40.4;33.9;12.9;12.8
01358;Saint-Germain-les-Paroisses;29;27.7;19.8;23.5
01359;Saint-Germain-sur-Renon;38.1;21.5;25.4;14.9
01360;Saint-Jean-de-Gonville;16.6;25.5;17;40.8
01361;Saint-Jean-de-Niost;21.7;28.3;18.1;31.8
01362;Saint-Jean-de-Thurigneux;20.4;28.5;16.5;34.6
01363;Saint-Jean-le-Vieux;31.3;29.2;16;23.4
01364;Saint-Jean-sur-Reyssouze;30;33.7;16.8;19.5
01365;Saint-Jean-sur-Veyle;29.6;33.8;16.6;20
01366;Sainte-Julie;21;33.7;17.9;27.4
01367;Saint-Julien-sur-Reyssouze;34.3;30.8;17.1;17.9
01368;Saint-Julien-sur-Veyle;25.3;30.6;20;24.2
01369;Saint-Just;23.4;26.8;19.7;30.1
01370;Saint-Laurent-sur-Saône;29;31.7;14.8;24.5
01371;Saint-Marcel;19.6;32.4;17.6;30.4
01372;Saint-Martin-de-Bavel;32.6;27.6;15.5;24.3
01373;Saint-Martin-du-Frêne;33.1;34.2;14.1;18.7
01374;Saint-Martin-du-Mont;20.9;27.5;19.7;31.8
01375;Saint-Martin-le-Châtel;27.3;31.6;17.5;23.6
01376;Saint-Maurice-de-Beynost;31.4;25.5;17.4;25.6
01378;Saint-Maurice-de-Gourdans;19.2;29.8;18.9;32.1
01379;Saint-Maurice-de-Rémens;25.5;34.7;19.3;20.5
01380;Saint-Nizier-le-Bouchoux;39.4;29.4;14.8;16.4
01381;Saint-Nizier-le-Désert;24;34.9;17.4;23.7
01382;Sainte-Olive;22.2;28.1;17.7;32
01383;Saint-Paul-de-Varax;31.1;31.4;16.4;21.1
01384;Saint-Rambert-en-Bugey;35.6;33.9;15.3;15.2
01385;Saint-Rémy;33.5;19.8;23.2;23.6
01386;Saint-Sorlin-en-Bugey;24.6;29.3;15.8;30.3
01387;Saint-Sulpice;18.4;34.2;25;22.4
01388;Saint-Trivier-de-Courtes;42.4;30.9;12.7;14
01389;Saint-Trivier-sur-Moignans;28.2;29.2;18.7;24
01390;Saint-Vulbas;33.4;29.1;19;18.5
01391;Salavre;26.8;39.7;17.9;15.6
01392;Samognat;19;35.4;16.7;29
01393;Sandrans;16.9;34.3;19.4;29.4
01396;Sault-Brénaz;40.8;32.4;14.4;12.4
01397;Sauverny;19.4;21.2;19.1;40.4
01398;Savigneux;23.3;32.1;17.5;27.2
01399;Ségny;14.4;21.8;16.8;47
01400;Seillonnaz;29;35.5;14;21.5
01401;Sergy;13.4;21;16.7;48.9
01402;Sermoyer;27.8;36.5;13.2;22.5
01403;Serrières-de-Briord;34;35.1;14;16.9
01404;Serrières-sur-Ain;31.8;29;16.8;22.4
01405;Servas;31;32.3;16.8;19.8
01406;Servignat;40.3;23.7;18;18
01407;Seyssel;30.9;28.3;19.7;21.1
01408;Simandre-sur-Suran;23.7;33.5;18.6;24.1
01410;Sonthonnax-la-Montagne;18.4;31.4;19.6;30.5
01411;Souclin;32.8;27.8;21.2;18.2
01412;Sulignat;26;29.8;18.8;25.5
01415;Talissieu;37.8;29.9;13.4;18.9
01416;Tenay;35.6;35.8;13.5;15.1
01418;Thil;17;27.6;18;37.4
01419;Thoiry;13.8;20.3;16.5;49.4
01420;Thoissey;45.7;26.4;14.3;13.5
01421;Torcieu;28.4;33.4;21.3;16.9
01422;Tossiat;20.1;32;16.5;31.4
01423;Toussieux;16.4;28.5;18;37.1
01424;Tramoyes;16.4;24.9;19.9;38.9
01425;La Tranclière;24;34.1;17.1;24.9
01426;Val-Revermont;24.5;30.2;17.9;27.4
01427;Trévoux;31;21.3;16.9;30.8
01428;Valeins;22.9;26.5;25.3;25.3
01429;Vandeins;23.7;31.8;20.2;24.3
01430;Varambon;24.8;33.3;18.6;23.3
01431;Vaux-en-Bugey;19.5;32.9;18.6;29
01432;Verjon;24.3;29.6;20.4;25.7
01433;Vernoux;43;31.3;14.7;11
01434;Versailleux;24.3;28.8;17.5;29.4
01435;Versonnex;20;22.2;19.7;38.1
01436;Vesancy;20.3;20;14.9;44.9
01437;Vescours;41;27.2;13.3;18.5
01439;Vésines;32.4;31.1;17.6;18.9
01441;Vieu-d'Izenave;23.8;33.7;20.4;22
01443;Villars-les-Dombes;28.1;28.5;16.3;27.1
01444;Villebois;27.2;36.6;18.1;18.1
01445;Villemotier;21.5;32;21.1;25.4
01446;Villeneuve;22.7;29.1;19.7;28.5
01447;Villereversure;28.9;34.9;16.9;19.3
01448;Villes;15.8;33.7;22.6;27.9
01449;Villette-sur-Ain;31.1;21.1;27.3;20.5
01450;Villieu-Loyes-Mollon;41.8;16.2;23.4;18.5
01451;Viriat;25.2;30.5;17.5;26.8
01452;Virieu-le-Grand;37.2;30;16.2;16.6
01453;Arvière-en-Valromey;32;27.2;18.9;22
01454;Virignin;31.3;26.7;19.8;22.2
01456;Vongnes;26.7;28.3;23.3;21.7
01457;Vonnas;33.5;31;17.4;18
02001;Abbécourt;33.5;37.3;15;14.2
02002;Achery;30.2;32.1;18.4;19.3
02003;Acy;27.2;31.8;15.6;25.4
02004;Agnicourt-et-Séchelles;45.8;28.5;12.5;13.2
02005;Aguilcourt;26.5;28.4;20.7;24.4
02006;Aisonville-et-Bernoville;41.6;27;16.6;14.8
02007;Aizelles;31.4;25.5;11.8;31.4
02008;Aizy-Jouy;29.5;24.4;18.1;28
02009;Alaincourt;26.9;31.4;21;20.7
02010;Allemant;33.9;39.7;6.6;19.8
02011;Ambleny;30;30.4;17;22.6
02012;Ambrief;37.9;19;10.3;32.8
02013;Amifontaine;38.8;26.8;16.1;18.4
02014;Amigny-Rouy;29.3;30.3;18.9;21.4
02015;Ancienville;18.3;41.7;8.3;31.7
02016;Andelain;26.5;37.7;16.6;19.2
02017;Anguilcourt-le-Sart;21.8;36.1;18.1;24.1
02018;Anizy-le-Grand;34.9;27.9;15.5;21.8
02019;Annois;34.8;33;16.8;15.4
02020;Any-Martin-Rieux;38.3;28.9;12.5;20.3
02021;Archon;36.8;33.8;5.9;23.5
02022;Arcy-Sainte-Restitue;32.8;30.7;14.9;21.6
02023;Armentières-sur-Ourcq;21.8;33.3;23.1;21.8
02024;Arrancy;43.6;20.5;12.8;23.1
02025;Artemps;29.2;31.8;14.6;24.3
02027;Assis-sur-Serre;47.5;28.9;9.5;14.2
02028;Athies-sous-Laon;35.1;27.9;17.9;19.1
02029;Attilly;30.8;25.9;19.2;24.1
02030;Aubencheul-aux-Bois;41;23.4;21;14.6
02031;Aubenton;44.2;28.4;14.8;12.6
02032;Aubigny-aux-Kaisnes;44.8;28.4;15.8;10.9
02033;Aubigny-en-Laonnois;32.9;24.7;22.4;20
02034;Audignicourt;33.7;24.1;19.3;22.9
02035;Audigny;30.3;35.4;15.7;18.5
02036;Augy;42.2;25;18.8;14.1
02037;Aulnois-sous-Laon;30.6;34.8;17.9;16.7
02038;Les Autels;55.6;33.3;11.1;0
02039;Autremencourt;42.8;27.8;14.3;15.1
02040;Autreppes;37.6;19.2;22.4;20.8
02041;Autreville;32;30.3;18.2;19.5
02042;Azy-sur-Marne;38.8;26.4;17.1;17.7
02043;Bagneux;51;25.5;13.7;9.8
02044;Bancigny;52.4;28.6;14.3;4.8
02046;Barenton-Bugny;26.4;31.8;21.4;20.4
02047;Barenton-Cel;41.9;28;20.4;9.7
02048;Barenton-sur-Serre;26;20.8;27.1;26
02049;Barisis-aux-Bois;25.3;34.4;13.4;26.9
02050;Barzy-en-Thiérache;37;34.4;12.3;16.3
02051;Barzy-sur-Marne;33.4;30.7;19.6;16.3
02052;Bassoles-Aulers;25.7;28.7;23.8;21.8
02053;Vallées en Champagne;31.4;24.4;21;23.2
02054;Bazoches-sur-Vesles;30.5;28.3;16;25.2
02055;Beaumé;35.1;28.6;22.1;14.3
02056;Beaumont-en-Beine;23.1;45.5;12.4;19
02057;Beaurevoir;48.8;26.5;10.5;14.2
02058;Beaurieux;34.2;31.1;16.3;18.4
02059;Beautor;42;35;13.9;9.2
02060;Beauvois-en-Vermandois;36.7;28.5;16.4;18.4
02061;Becquigny;33.1;36;14.9;16
02062;Belleau;25.8;36.1;12.4;25.8
02063;Bellenglise;31.6;29.5;17.1;21.8
02064;Belleu;41.5;29.3;15.3;13.9
02065;Bellicourt;36;33.2;16.2;14.6
02066;Benay;24.8;33.3;21.8;20
02067;Bergues-sur-Sambre;39.1;31.1;16.8;13
02068;Berlancourt;34.3;20;17.1;28.6
02069;Berlise;47.4;32.1;12.8;7.7
02070;Bernot;38.4;24.6;15.6;21.4
02071;Berny-Rivière;30.8;29.3;19.1;20.8
02072;Berrieux;28.8;26;24.7;20.5
02073;Berry-au-Bac;31.4;33.6;16.6;18.4
02074;Bertaucourt-Epourdon;30.2;31.9;18.8;19.1
02075;Berthenicourt;22.1;35.6;8.1;34.2
02076;Bertricourt;20;31.4;19;29.5
02077;Berzy-le-Sec;28.6;32.9;15.9;22.6
02078;Besmé;33.9;34.8;17.9;13.4
02079;Besmont;41.3;29.8;14.9;14
02080;Besny-et-Loizy;22.7;26.4;23;27.9
02081;Béthancourt-en-Vaux;32.9;29.7;15.5;22
02082;Beugneux;41.5;20.7;19.5;18.3
