Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale (historique depuis 1876) 2016;Part des familles avec 1 enf. de - de 25 ans 2016;Indice de vieillissement 2016;Densité de population (historique depuis 1876) 2016;Évol. annuelle moy. de la population 2011-2016;Part des pers. âgées de - 15 ans 2016;Part des pers. âgées de - de 25 ans 2016;Part des pers. âgées de 25 à 64 ans 2016;Part des pers. âgées de 65 ans ou + 2016;Part des familles sans enf. de - de 25 ans 2016;Part des familles avec 2 enf. de - de 25 ans 2016;Part des familles avec 3 enf. ou plus de - de 25 ans 2016;Taille moyenne des ménages 2016
01204;Le Poizat-Lalleyriat;712;22;55.1;21.5;1;22.2;32.2;52.3;15.5;39;24.4;14.6;2.5
01206;Lantenay;272;6.2;73.9;41.3;0.9;18.1;28.5;53.1;18.4;56.3;31.2;6.2;2.4
01207;Lapeyrouse;324;31.6;42.2;16.2;1.9;21.8;31.3;57.6;11.1;36.8;21.1;10.5;2.6
01208;Lavours;127;0;179.2;20.2;-3.4;14.7;19.4;47.3;33.3;75;12.5;12.5;2
01209;Léaz;719;23.1;42.5;63.1;4.5;25.6;31.7;55.7;12.6;40.9;20.6;15.5;2.5
01210;Lélex;225;23.1;102.3;12.8;-0.2;13.1;22.3;58.1;19.7;53.8;15.4;7.7;2
01211;Lent;1416;17.5;71.4;45;0.9;20;29.4;52.2;18.4;47.5;26.3;8.8;2.3
01212;Lescheroux;727;19.1;70.4;36.3;1.1;20.9;31;50.2;18.8;45.3;26.1;9.5;2.4
01213;Leyment;1285;15.6;36.8;90.6;0.3;22.4;33.5;55.9;10.5;44.2;28.6;11.7;2.6
01214;Leyssard;153;30;81.2;16.8;0.1;13.6;24;59.1;16.9;60;10;0;2.1
01215;Surjoux-Lhopital;126;22.4;74.4;15.8;-1.1;16.8;26.3;56.9;16.9;55.3;22.4;0;2.2
01216;Lhuis;890;22;117.7;36.4;0.4;17.5;23.9;50.7;25.4;54;14;10;2.3
01219;Lompnas;169;20;61.4;13.3;2.7;20.5;30.7;53;16.3;40;30;10;2.3
01224;Loyettes;3145;19.6;40.7;147.8;2.2;24.9;35.6;51.7;12.7;40.2;29.1;11.2;2.6
01225;Lurcy;379;4.2;79.1;78.8;-0.7;15.6;26.4;54.6;19;58.3;29.2;8.3;2.5
01227;Magnieu;640;18;64.3;56.3;2.1;22.5;29.3;53.3;17.4;50.9;23.3;7.8;2.4
01228;Maillat;623;15.9;70.4;55.1;-1.4;17.3;28.1;56;15.9;48.7;30.5;4.9;2.3
01229;Malafretaz;1188;24;70.5;129.3;3.1;19.9;31.9;49.5;18.7;44;22.7;9.3;2.3
01230;Mantenay-Montlin;310;22.2;87.8;28.7;1;18.4;27.9;49.2;22.9;38.9;27.8;11.1;2.2
01231;Manziat;1977;17.6;87.5;156.5;0.5;18.5;27.7;51.1;21.2;53.6;20.8;8;2.4
01232;Marboz;2226;19.1;89.7;55.5;0.4;17.7;27.7;50.8;21.5;55;18.3;7.6;2.3
01233;Marchamp;131;25;100;10;1.1;19.8;26;49.6;24.4;50;0;25;2.1
01234;Marignieu;173;30;116.7;48.7;3.2;12.2;23.3;52.3;24.4;50;10;10;2.3
01235;Marlieux;1068;18;52.8;63.4;2.8;23.5;35.1;49.6;15.3;49.6;21.1;11.3;2.4
01236;Marsonnas;981;12.2;68.8;53.4;-0.8;20.7;30.1;51.7;18.1;51.4;23.7;12.7;2.4
01237;Martignat;1627;19.2;48.7;122.8;0.4;21.3;33;52.8;14.1;44.4;25.3;11.1;2.6
01238;Massieux;2519;16.8;54.5;812.6;0.8;21.1;32.3;52.4;15.3;45.7;26.8;10.7;2.7
01239;Massignieu-de-Rives;613;10.3;97.2;64.4;-0.4;18.8;28.2;49.1;22.7;61.5;20.5;7.7;2.4
01240;Matafelon-Granges;645;23.1;58.7;29.9;-0.2;20.6;28.7;56.1;15.2;46.2;23.1;7.7;2.4
01241;Meillonnas;1332;23.8;85.8;75.1;0.8;17.7;25.7;55.4;18.9;52.9;16.9;6.3;2.3
01242;Mérignat;126;57.1;50;39.7;-1.2;20;32.6;53.3;14.1;14.3;14.3;14.3;2.2
