Inscrits;Nuls;Votants;Code Insee;ARTHAUD;ROUSSEL;JADOT;DUPONT-AIGNAN;ZEMMOUR;PECRESSE;LASSALLE;LE PEN;MACRON;MÉLENCHON;POUTOU;HIDALGO
467;10;383;37026;0.0;0.54;0.0;5.65;20.7;5.91;1.34;29.3;21.51;12.63;2.42;2.24
3753;34;3141;37027;0.82;1.24;0.29;6.64;22.03;6.02;0.75;21.61;21.48;18.11;1.01;3.77
610;1;523;37028;0.97;1.17;0.39;6.02;26.41;6.99;0.78;23.5;17.09;15.92;0.78;2.84
277;2;239;37029;1.29;0.0;0.86;4.74;24.14;7.76;1.72;27.16;18.1;12.93;1.29;3.11
562;7;471;37030;0.22;1.55;0.66;7.96;17.48;4.2;0.22;28.54;21.02;15.04;3.1;6.23
2964;14;2326;37031;0.84;0.97;0.26;6.53;22.73;6.93;0.75;18.4;23.21;18.27;1.1;5.23
204;1;178;37032;1.73;0.0;0.0;7.51;19.08;2.89;1.73;22.54;28.32;15.61;0.58;4.21
201;1;167;37033;0.0;0.0;0.0;10.43;20.86;4.29;2.45;8.59;26.99;25.77;0.61;7.61
273;1;230;37034;0.0;1.35;0.0;5.38;30.04;2.24;1.35;26.46;17.04;14.8;1.35;5.7
262;0;214;37035;0.0;0.47;0.47;6.6;17.45;3.77;1.42;31.6;23.58;14.15;0.47;5.05
186;1;147;37036;0.71;0.0;0.0;1.42;34.75;2.84;0.71;31.91;12.06;15.6;0.0;3.02
198;0;164;37037;0.62;0.0;0.62;9.94;21.12;3.11;1.86;32.92;15.53;12.42;1.86;4.31
604;4;534;37038;1.75;0.0;0.0;3.7;18.29;6.23;0.39;25.49;22.18;20.62;1.36;5.42
373;8;295;37039;2.79;0.35;0.0;4.88;17.77;5.23;0.7;34.84;20.91;11.85;0.7;6.23
231;4;198;37040;0.53;1.58;0.0;4.74;28.95;4.21;1.58;25.79;15.26;15.26;2.11;5.53
243;0;200;37041;0.0;0.0;0.0;7.61;21.32;7.61;1.52;21.83;19.29;18.78;2.03;6.45
193;2;161;37042;0.63;1.27;0.0;5.7;23.42;5.7;1.9;20.25;22.78;17.72;0.63;6.81
822;3;703;37043;0.58;0.72;0.14;6.78;17.03;5.05;0.72;32.18;17.75;16.45;2.6;4.62
234;5;209;37044;2.01;0.5;0.5;4.52;26.63;3.02;0.5;22.61;22.11;16.58;1.01;6.04
821;8;680;37045;0.77;1.54;0.0;6.78;17.41;4.31;0.62;30.2;20.34;17.1;0.92;5.0
362;10;306;37046;0.34;0.68;0.34;6.78;25.76;5.42;1.69;21.69;20.34;15.59;1.36;5.93
950;3;796;37047;0.65;0.39;0.0;8.05;17.92;6.23;0.91;22.21;25.84;16.36;1.43;5.49
247;2;204;37048;1.51;0.0;0.5;4.52;25.63;5.53;0.5;24.62;23.62;11.56;2.01;6.67
1006;9;826;37049;1.14;0.76;0.13;6.07;18.46;6.45;1.14;20.23;24.02;20.48;1.14;5.91
7521;34;6259;37050;0.61;0.64;0.21;5.4;24.5;6.81;0.75;15.08;28.54;16.55;0.9;4.52
682;4;558;37051;0.92;0.55;0.0;2.03;29.57;4.62;0.55;24.4;19.22;17.01;1.11;5.51
833;6;722;37052;0.86;0.29;0.43;7.77;19.28;6.04;0.86;21.44;26.19;16.55;0.29;5.64
126;1;101;37053;1.0;0.0;0.0;6.0;38.0;5.0;3.0;16.0;18.0;10.0;3.0;4.58
2708;12;2331;37054;0.71;0.75;0.13;7.13;20.27;5.93;0.84;22.22;23.28;17.57;1.15;4.72
551;7;473;37055;0.66;1.1;0.44;9.89;22.42;5.49;0.0;29.23;14.73;14.95;1.1;5.97
454;4;390;37056;1.6;0.0;0.0;8.27;16.8;6.67;1.33;24.53;19.73;20.0;1.07;4.88
